编号	说话人1/2	中文文本	英文文本	补充成分	补充句子	错别字
	1	你知道是谁吗	Do you know who he is?	he	你知道他是谁吗	
	2	福勒的化名	It's Fowler's alias.			
	1	戴安追查他的购物记录时发现的	Diane found it when she tracked down his shopping records.	she	戴安追查他的购物记录时她发现的	
	1	是在爆炸之前一周购买的	It was purchased a week before the bombing.			是在爆炸之前一周够买的
	2	福勒买了炸药 然后安装在飞机上	Fowler buys explosives and installs them on the plane.			
						
294	1	你在找什么呢	What are you looking for?			
	2	醒酒液	Sober-up Liquid.			
	2	这东西可以清除宿醉 对吗	This will clear up hangovers, right?			这东西可以清楚宿醉 对吗
	1	天呐 我们简直把这里一扫而空	My God. We just swept the place out!			
	1	谁把兰姆酒喝了	Who drank the rum?			
	2	怪我	I'm to blame.			
	2	你觉得这些要花多少钱	How much do you think these will cost?			
	1	不用多少钱吧	Not much, I suppose.			
	1	大概小几百块	Maybe a few hundred.			大概小几百快
						
295	1	坏了 硬盘被烧了	The hard drive is burned.			
	1	我们只能恢复出一张农场的照片	We can only recover one photograph of the farm.			我们只能恢付出一张农场的照片
	2	可能是招聘广告上的	It could be from a job advertisement.			
	1	问题是 我们不知道是不是布鲁克斯打的广告	The problem is we don't know if Brooks sent the advertisement.			
	1	他有可能是求职的	He might be looking for a job.			
	2	好吧 我们分析一下这张照片	OK, let's analyze this picture.			
	2	看看能不能确定农场的位置	See if we can locate the farm.	we	看看我们能不能确定农场的位置	
	2	或许这能帮我们确定凶手的身份	Maybe it'll help us identify the killer.			
						
296	1	华盛顿大学是排名前十的学校	The University of Washington is in the top 10.			
	2	等等 你刚才是不是提到了华盛顿大学	Wait a minute, did you mention the University of Washington?			
	1	是啊	Yes.			
	2	华盛顿州西雅图市的那个吗	Is it the one in Seattle, Washington?			
	1	是啊 我知道学校不太理想	Yes, I know it's not an ideal school.			
	1	不理想的是地理位置	What's not ideal is the location.			不理想的是地里位置
	1	但这是唯一一个给我提供奖学金的学校	But this is the only school that offered me a scholarship.			
						
297	1	能查查玛丽·比格斯比的车辆记录吗	Can we check Mary Biggsby's car records?			
	2	那个是玛丽吗	Is that Mary?			
	1	估计是	Probably she is.	she	估计是她	
	2	找到了	I found it!	I	我找到了	
	2	玛丽·比格斯比开的是一辆蓝色的小货车	Mary Biggsby drove a blue pickup.			
	2	这里的汽车牌照我们都登记了 会找到的	We have registered all the license plates here. We'll find them.			这里的汽车拍照我们都登记了 会找到的
						
298	1	你玩过多久的棒球	How long have you played baseball?			
	2	我吗	Me?			
	1	是啊	Yes.			
	2	从没打过	Never.			
	1	你这身球衣很棒	Your shirt is great.			你这身秋衣很棒
	2	这件是防水的	This one is waterproof.			
	2	聚乙烯纤维制成的单层外皮	A single layer of leather made of polyethylene fibers.			
	2	轻便又舒适	Light and comfortable.			
	2	因为它自身也有冷却性能	Because it also has cooling properties.			
	2	上身效果也很好	When I wore it, I looked well.			
						
299	1	好奇怪 伊恩马上就能和梅丽莎逃走了	I'm surprised that Ian will be able to run away with Melissa in no time.			
	1	为什么还要自杀呢	Why did he kill himself?	he	为什么他还要自杀呢	
	2	或许他意识到自己要被抓住了	Maybe he realized that he was going to be caught.			
	2	就算有梅丽莎的帮助	Even with Melissa's help,			
	2	他也躲不了一辈子	he can't hide in his life.			
	2	或许他走投无路了	Maybe he's cornered.			或许他走头无路了
	2	管伊恩那么多干嘛	Whatever Ian does,			
	2	现在重要的是 杀死艾丽的凶手死了	what matters now is that Ellie's killer is dead.			
	2	我们不再是疑犯了	We're no longer suspects.			
	1	为什么我没有解放的感觉	Why didn't I feel liberated?			
						
300	1	你们和海伦·唐尼是什么关系	What's your relationship with Helen Downey?			
	2	我们是同一个女巫会的会员	We are members of the same Witches Association.			
	2	我一定要拿到其他九个人的名字	I must get the names of the other nine.			
	1	什么会	What association?			
	2	女巫会	Witches Association.			
	2	在中世纪也称之为女修道会	In the Middle Ages it was also called a convent.			在中世纪也成之为女修道会
	2	由13名女巫组成	It's made up of 13 witches.			

